This architecture has 519 events.
Event tags (tag, id, umask, counters<, options>):
ACTUAL_CPU_CLOCK, 0x1, 0x0, FIXC1
APERF, 0x1, 0x0, FIXC1
MAX_CPU_CLOCK, 0x2, 0x0, FIXC2
MPERF, 0x2, 0x0, FIXC2
MERGE, 0xFFF, 0x0, PMC
RETIRED_X87_FP_OPS_ADD_SUB, 0x2, 0x1, PMC
RETIRED_X87_FP_OPS_MULT, 0x2, 0x2, PMC
RETIRED_X87_FP_OPS_DIV_SQRT, 0x2, 0x4, PMC
RETIRED_SSE_AVX_FLOPS_ADD_SUB, 0x3, 0x1, PMC
RETIRED_SSE_AVX_FLOPS_MULT, 0x3, 0x2, PMC
RETIRED_SSE_AVX_FLOPS_DIV_SQRT, 0x3, 0x4, PMC
RETIRED_SSE_AVX_FLOPS_FMA, 0x3, 0x8, PMC
RETIRED_SSE_AVX_FLOPS_MAC, 0x3, 0x8, PMC
RETIRED_SSE_AVX_FLOPS_BFLOAT_FMA, 0x3, 0x10, PMC
RETIRED_SSE_AVX_FLOPS_BFLOAT_MAC, 0x3, 0x10, PMC
RETIRED_SSE_AVX_FLOPS_ALL, 0x3, 0x1F, PMC
RETIRED_SERIALIZING_OPS_X87_CONTROL, 0x5, 0x1, PMC
RETIRED_SERIALIZING_OPS_X87_BOTTOM, 0x5, 0x2, PMC
RETIRED_SERIALIZING_OPS_SSE_CONTROL, 0x5, 0x4, PMC
RETIRED_SERIALIZING_OPS_SSE_BOTTOM, 0x5, 0x8, PMC
RETIRED_FP_OPS_BY_WIDTH_X87, 0x8, 0x1, PMC
RETIRED_FP_OPS_BY_WIDTH_MMX, 0x8, 0x2, PMC
RETIRED_FP_OPS_BY_WIDTH_SCALAR, 0x8, 0x4, PMC
RETIRED_FP_OPS_BY_WIDTH_PACK128, 0x8, 0x8, PMC
RETIRED_FP_OPS_BY_WIDTH_PACK256, 0x8, 0x10, PMC
RETIRED_FP_OPS_BY_WIDTH_PACK512, 0x8, 0x20, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_ADD, 0xA, 0x1, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_SUB, 0xA, 0x2, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_MUL, 0xA, 0x3, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_MAC, 0xA, 0x4, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_FMA, 0xA, 0x4, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_DIV, 0xA, 0x5, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_SQRT, 0xA, 0x6, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_CMP, 0xA, 0x7, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_CVT, 0xA, 0x8, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_BLEND, 0xA, 0x9, PMC
